TKT1779002990510|v003|S 346|BCE 4578|2026-05-17 12:59:50||ACTIVE|2026-05-17 12:59:50
TKT1779016113237||||2026-05-17 16:38:33||ACTIVE|2026-05-17 16:38:33
TKT1779018245915|VEH1779015005471|null|CBA-0990|2026-05-17 17:14:05||ACTIVE|2026-05-17 17:14:05
TKT1779018573079|VEH1779015005471|null|CBA-0990|2026-05-17 17:19:33||ACTIVE|2026-05-17 17:19:33
TKT1779018616811|VEH1779014462584|null|CCD-6677|2026-05-17 17:20:16||ACTIVE|2026-05-17 17:20:16
TKT1779020460604|VEH1779014462584|null|CCD-6677|2026-05-17 17:51:00||ACTIVE|2026-05-17 17:51:00
TKT1779026112142|VEH1779015005471|SLT058|CBA-0990|2026-05-17 19:25:12||ACTIVE|2026-05-17 19:25:12
TKT1779026981940|VEH1779015005471|SLT058|CBA-0990|2026-05-17 19:39:41||ACTIVE|2026-05-17 19:39:41
TKT1779027043070|VEH1779014462584|SLT058|CCD-6677|2026-05-17 19:40:43||ACTIVE|2026-05-17 19:40:43
TKT1779083623953|VEH1779015005471|SLT081|CBA-0990|2026-05-18 11:23:43||ACTIVE|2026-05-18 11:23:43
TKT1779090356560|VEH1779015005471|SLT081|CBA-0990|2026-05-18 13:15:56||ACTIVE|2026-05-18 13:15:56
TKT1779092177115|VEH1779015005471|SLT058|CBA-0990|2026-05-18 13:46:17||ACTIVE|2026-05-18 13:46:17
TKT1779092687205|VEH1779092673776|SLT071|CCD-4455|2026-05-18 13:54:47||ACTIVE|2026-05-18 13:54:47
TKT1779099091291|VEH1779099077795|SLT059|CCF-0009|2026-05-18 15:41:31||ACTIVE|2026-05-18 15:41:31
TKT1779099626501|VEH1779014462584|SLT059|CCD-6677|2026-05-18 15:50:26||ACTIVE|2026-05-18 15:50:26
TKT1779106893744|VEH1779099077795|SLT060|CCF-0009|2026-05-18 17:51:33||ACTIVE|2026-05-18 17:51:33
TKT1779107174313|VEH1779015005471|SLT081|CBA-0990|2026-05-18 17:56:14||ACTIVE|2026-05-18 17:56:14
TKT1779107217584|VEH1779015005471|SLT081|CBA-0990|2026-05-18 17:56:57||ACTIVE|2026-05-18 17:56:57
TKT1779163948831|VEH1779014462584|SLT113|CCD-6677|2026-05-19 09:42:28||ACTIVE|2026-05-19 09:42:28
TKT1779164401250|VEH1779164391690|SLT154|BFC-0990|2026-05-19 09:50:01||ACTIVE|2026-05-19 09:50:01
TKT1779164906902|VEH1779015005471|SLT117|CBA-0990|2026-05-19 09:58:26||ACTIVE|2026-05-19 09:58:26
TKT1779165551955|VEH1779165516787|SLT136|CCC-3322|2026-05-19 10:09:11||ACTIVE|2026-05-19 10:09:11
TKT1779165621828|VEH1779165613250|SLT133|PF-8787|2026-05-19 10:10:21||ACTIVE|2026-05-19 10:10:21
TKT1779165699707|VEH1779165690899|SLT155|BGC-0009|2026-05-19 10:11:39||ACTIVE|2026-05-19 10:11:39
TKT1779165801396|VEH1779092673776|SLT112|CCD-4455|2026-05-19 10:13:21||ACTIVE|2026-05-19 10:13:21
TKT1779170764732|VEH1779170742127|SLT115|CCD-9977|2026-05-19 11:36:04||ACTIVE|2026-05-19 11:36:04
